,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,,
68,62,1952,1952-10-19,4,4,32.085,RAM,@,DET,L 16-24,*,5,10,50.00,62,0,1,30.0,,,6.20,1.70,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
69,63,1952,1952-10-26,5,5,32.092,RAM,,CHI,W 31-7,*,12,20,60.00,94,0,2,32.1,,,4.70,0.20,5,-25,-5.00,0,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
70,64,1952,1952-11-02,6,6,32.099,RAM,,DTX,W 42-20,,2,4,50.00,78,2,0,135.4,,,19.50,29.50,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
71,65,1952,1952-11-09,7,7,32.106,RAM,@,DTX,W 27-6,*,1,6,16.67,-4,0,1,0.0,,,-0.67,-8.17,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
72,66,1952,1952-11-16,8,8,32.113,RAM,@,CHI,W 40-24,,4,7,57.14,43,0,1,35.7,,,6.14,-0.29,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
73,67,1952,1952-11-23,9,9,32.120,RAM,,SFO,W 35-9,,2,5,40.00,16,0,1,9.2,,,3.20,-5.80,1,-8,-8.00,0,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
74,68,1952,1952-11-30,10,10,32.127,RAM,@,SFO,W 34-21,,3,7,42.86,37,0,1,20.2,,,5.29,-1.14,1,-2,-2.00,0,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
75,69,1952,1952-12-07,11,11,32.134,RAM,,GNB,W 45-27,,4,6,66.67,98,1,0,149.3,,15,16.33,19.67,1,19,19.00,1,0,0,,0,1,6,,,,,Bob Waterfield,WateBo01
76,70,1952,1952-12-14,12,12,32.141,RAM,,PIT,W 28-14,*,7,15,46.67,69,0,2,20.6,,,4.60,-1.40,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
77,,,70 Games,,,,,,,48-18-4,,536,1024,52.34,7924,63,80,65.9,3,130,7.74,5.45,37,57,1.54,5,1,5,5.00,0,5,30,19,221,0,,Bob Waterfield,WateBo01
