,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
9,9,1970,1970-10-04,3,3,28.241,DAL,@,STL,L 7-20,*,2,6,33.33,16,0,2,2.8,1,9,2.67,-12.33,3,23,7.67,0,,,,,0,0,Roger Staubach,StauRo00
10,10,1970,1970-10-18,5,5,28.255,DAL,@,MIN,L 13-54,,9,16,56.25,109,0,3,37.8,7,33,6.81,-1.63,3,17,5.67,0,,,,,0,0,Roger Staubach,StauRo00
11,11,1970,1970-11-16,9,9,28.284,DAL,,STL,L 0-38,,2,8,25.00,61,0,1,19.3,4,37,7.63,2.00,2,33,16.50,0,,,,,0,0,Roger Staubach,StauRo00
12,12,1970,1970-11-22,10,10,28.290,DAL,@,WAS,W 45-21,,2,5,40.00,26,0,0,57.1,,,5.20,5.20,1,9,9.00,0,,,,,0,0,Roger Staubach,StauRo00
13,13,1970,1970-12-06,12,12,28.304,DAL,,WAS,W 34-0,,3,4,75.00,66,0,0,116.7,,,16.50,16.50,1,1,1.00,0,,,,,0,0,Roger Staubach,StauRo00
14,14,1970,1970-12-20,14,14,28.318,DAL,,HOU,W 52-10,,2,5,40.00,16,0,0,48.7,1,5,3.20,3.20,4,33,8.25,0,,,,,0,0,Roger Staubach,StauRo00
15,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Roger Staubach,StauRo00
16,15,1971,1971-09-26,2,2,29.233,DAL,@,PHI,W 42-7,*,2,4,50.00,23,0,1,28.1,1,4,5.75,-5.50,,,,,,,,,0,0,Roger Staubach,StauRo00
17,16,1971,1971-10-03,3,3,29.240,DAL,,WAS,L 16-20,,6,9,66.67,103,0,0,105.3,2,33,11.44,11.44,,,,,,,,,0,0,Roger Staubach,StauRo00
18,17,1971,1971-10-11,4,4,29.248,DAL,,NYG,W 20-13,*,8,17,47.06,106,1,0,86.9,1,6,6.24,7.41,6,31,5.17,0,,,,,0,0,Roger Staubach,StauRo00
