,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
163,152,1997,1997-09-07,2,2,,SFO,@,STL,W 15-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Young,YounSt00
164,153,1997,1997-09-14,3,3,35.338,SFO,,NOR,W 33-7,*,18,21,85.71,220,3,0,149.9,5,39,10.48,13.33,2,12,6.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
165,154,1997,1997-09-21,4,4,35.345,SFO,,ATL,W 34-7,*,17,24,70.83,336,2,0,141.0,2,9,14.00,15.67,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
166,155,1997,1997-09-29,5,5,35.353,SFO,@,CAR,W 34-21,*,16,24,66.67,152,1,0,97.9,2,3,6.33,7.17,6,16,2.67,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
167,156,1997,1997-10-12,6,7,36.001,SFO,,STL,W 30-10,*,19,30,63.33,223,3,1,105.3,4,34,7.43,7.93,3,25,8.33,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
168,157,1997,1997-10-19,7,8,36.008,SFO,@,ATL,W 35-28,*,16,25,64.00,259,2,1,108.6,3,18,10.36,10.16,4,29,7.25,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
169,158,1997,1997-10-26,8,9,36.015,SFO,@,NOR,W 23-0,*,20,32,62.50,230,2,0,104.9,3,20,7.19,8.44,1,8,8.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
170,159,1997,1997-11-02,9,10,36.022,SFO,,DAL,W 17-10,*,15,23,65.22,180,0,1,70.9,1,7,7.83,5.87,3,3,1.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-7,0,,Steve Young,YounSt00
171,160,1997,1997-11-10,10,11,36.030,SFO,@,PHI,W 24-12,*,13,23,56.52,103,0,1,49.7,1,7,4.48,2.52,5,26,5.20,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
172,161,1997,1997-11-16,11,12,36.036,SFO,,CAR,W 27-19,*,17,22,77.27,221,1,0,123.5,0,0,10.05,10.95,6,22,3.67,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
